TaskType,Precision,TreatmentType,ConversationId,ResponseId,Response
1,0.6,1,1,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Right...I'll be home as soon as work is finished. Hang in there!"
1,0.6,0,2,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. If you're there, would you mind taking it out?"
1,0.6,1,3,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What'd he do today?"
1,0.6,0,4,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Wasn't me, man."
1,0.6,1,5,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I don't know what to tell you..."
1,0.6,1,6,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. I was just trying to make a joke about you being a fashion leader or something...guess that didn't work too well."
1,0.6,1,7,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Oh. Hell. I'm really sorry to hear that."
1,0.6,0,8,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I'm catching an uber. Be there soon."
1,0.6,0,9,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry, I didn't see your message immediately. What did you need?"
1,0.6,1,10,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Well...than the umbrella probably wouldn't have helped, right?"
1,0.6,1,11,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","They'll be fine. Again, really sorry!"
1,0.6,1,12,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I've kind of got a lot on my mind recently."
1,0.6,1,13,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What do you want to do?"
1,0.6,0,14,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Ok. See you then."
1,0.6,1,15,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Is there anything I can do to help?"
1,0.7,1,1,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Ok, we'll let me know if you want me home."
1,0.7,0,2,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","It won't happen again."
1,0.7,1,3,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Just ignore them."
