"ResponseId","Response","J_WorkerId","J_Gender","J_Literacy","J_Age","Empathy","R_WorkerId","R_Gender","R_Literacy","R_Age","Treatment","ConversationId","Precision","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X0","Round"
"1","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","You are forgiven my child.","A2T5DC2TXEEMBV","male","profession","18-25",2,"A3SG23IVI6PS0L","female","native","26-35","1","6","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","You are forgiven my child.","A1Z6F6EIUJFC6T","male","native","26-35",4,"A3SG23IVI6PS0L","female","native","26-35","1","6","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"3","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","You are forgiven my child.","ACDX50KGPE97I","male","native","26-35",3,"A3SG23IVI6PS0L","female","native","26-35","1","6","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"4","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Right...I'll be home as soon as work is finished. Hang in there!","APEB5ERGCYP6D","male","profession","18-25",3,"A3PYFNAED6X1BL","female","native","26-35","1","1","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"5","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Right...I'll be home as soon as work is finished. Hang in there!","ASZFG2YOQA71C","male","native","18-25",4,"A3PYFNAED6X1BL","female","native","26-35","1","1","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"6","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Right...I'll be home as soon as work is finished. Hang in there!","AXKV2UQ5HEG29","male","native","26-35",5,"A3PYFNAED6X1BL","female","native","26-35","1","1","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"7","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. If you're there, would you mind taking it out?","A1XSX19SIQ9U4W","female","native","56-65",1,"A3PYFNAED6X1BL","female","native","26-35","0","2","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"8","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. If you're there, would you mind taking it out?","A1OSRB1Q63XXWZ","female","native","56-65",2,"A3PYFNAED6X1BL","female","native","26-35","0","2","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"9","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. If you're there, would you mind taking it out?","APEB5ERGCYP6D","male","profession","26-35",3,"A3PYFNAED6X1BL","female","native","26-35","0","2","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"10","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What'd he do today?","AHLS6AZ1VTNH7","male","native","26-35",2,"A3PYFNAED6X1BL","female","native","26-35","1","3","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"11","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What'd he do today?","A1V9MN88VQ1LEB","male","profession","26-35",4,"A3PYFNAED6X1BL","female","native","26-35","1","3","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"12","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What'd he do today?","APEB5ERGCYP6D","male","profession","26-35",3,"A3PYFNAED6X1BL","female","native","26-35","1","3","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"13","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Wasn't me, man.","A3PJ51GS2AKBO6","male","native","26-35",2,"A3PYFNAED6X1BL","female","native","26-35","0","4","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"14","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Wasn't me, man.","AS7IGPU2RHT6I","female","native","26-35",3,"A3PYFNAED6X1BL","female","native","26-35","0","4","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
